titulo: Front-Matter | Autor: Autor não encontrado
titulo: Disambiguation of Universal Dependencies Part-of-Speech Tags of Closed Class Words in Portuguese | Autor: Lucelene Lopes, Paulo Fernandes, Marcio L. Inacio, Magali S. Duran, Thiago A. S. Pardo
titulo: Bete: A Brazilian Portuguese Dataset for Named Entity Recognition and Relation Extraction in the Diabetes Healthcare Domain | Autor: Lucas Pavanelli, Yohan Bonescki Gumiel, Thiago Ferreira, Adriana Pagano, Eduardo Laber
titulo: LegalBert-pt: A Pretrained Language Model for the Brazilian Portuguese Legal Domain | Autor: Raquel Silveira, Caio Ponte, Vitor Almeida, Vládia Pinheiro, Vasco Furtado
titulo: A Framework for Controversial Political Topics Identification Using Twitter Data | Autor: Kenzo Sakiyama, Lucas de Souza Rodrigues, Bruno Magalhães Nogueira, Edson Takashi Matsubara, Roseli A. F. Romero
titulo: Leveraging Sign Language Processing with Formal SignWriting and Deep Learning Architectures | Autor: Fernando de Almeida Freitas, Sarajane Marques Peres, Otávio de Paula Albuquerque, Marcelo Fantinato
titulo: A Clustering Validation Index Based on Semantic Description | Autor: Roberto Douglas Guimarães de Aquino, Vitor Venceslau Curtis, Filipe Alves Neto Verri
titulo: Detecting Multiple Epidemic Sources in Network Epidemics Using Graph Neural Networks | Autor: Rodrigo Gonçalves Haddad, Daniel Ratton Figueiredo
titulo: Prediction of Cancer-Related miRNA Targets Using an Integrative Heterogeneous Graph Neural Network-Based Method | Autor: Emanoel Aurelio Vianna Fabiano, Mariana Recamonde-Mendoza
titulo: Time Series Forecasting of COVID-19 Cases in Brazil with GNN and Mobility Networks | Autor: Fernando Henrique Oliveira Duarte, Gladston J. P. Moreira, Eduardo J. S. Luz, Leonardo B. L. Santos, Vander L. S. Freitas
titulo: Federated Learning and Mel-Spectrograms for Physical Violence Detection in Audio | Autor: Victor E. de S. Silva, Tiago B. Lacerda, Péricles Miranda, André Câmara, Amerson Riley Cabral Chagas, Ana Paula C. Furtado
titulo: Police Report Similarity Search: A Case Study | Autor: José Alan Firmiano Araújo, Ticiana L. Coelho da Silva, Atslands Rego da Rocha, Vinicius Cezar Monteiro de Lira
titulo: Evaluating Contextualized Embeddings for Topic Modeling in Public Bidding Domain | Autor: Henrique R. Hott, Mariana O. Silva, Gabriel P. Oliveira, Michele A. Brandão, Anisio Lacerda, Gisele Pappa
titulo: A Tool for Measuring Energy Consumption in Data Stream Mining | Autor: Eric Kenzo Taniguchi Onuki, Andreia Malucelli, Jean Paul Barddal
titulo: Improved Fuzzy Decision System for Energy Bill Reduction in the Context of the Brazilian White Tariff Scenario | Autor: Raimunda Branco, Filipe Saraiva
titulo: Exploring Artificial Intelligence Methods for the Automatic Measurement of a New Biomarker Aiming at Glaucoma Diagnosis | Autor: Gabriel C. Fernandes, Fabio Lavinsky, Sandro José Rigo, Henrique C. Bohn
titulo: Investigation of Deep Active Self-learning Algorithms Applied to Named Entity Recognition | Autor: José Reinaldo Cunha Santos A. V. Silva Neto, Thiago de Paulo Faleiros
